,Application ID,Application Type,Customer ID,Group Name ID,RM ID,Entered Date,Closed Date,Next Review Date,Product ID,Start Date,Term (mths),Expiry Date,Rate Applied,Margin Agreed,Capital,Annual Interest Income,Collateral Type,Face Value,Rating
0,ID1148,Dealer,IFR153,GRP507,RM2034,1/3/2015,4/26/2015,4/25/2016,PRD019,4/26/2015,24,4/27/2017,3.03,0.2,6120000,197676,Fixed Company Charge,23000000,1
1,ID1292,Dealer,IFR177,GRP516,RM2040,1/6/2015,2/5/2015,2/5/2016,PRD017,2/5/2015,12,2/6/2016,3.14,0.24,4870000,164606,Limited Cross Guarantee and Indemnity (supported),22400000,2
2,ID1193,Dealer,IFR117,GRP501,RM2020,1/10/2015,5/17/2015,5/16/2016,PRD014,5/17/2015,12,5/17/2016,2.52,0.12,6540000,172656,Bank Guarantee by Australian Financial Institution,21700000,2
3,ID1197,Dealer,IFR193,GRP516,RM2012,1/22/2015,4/8/2015,4/7/2016,PRD009,4/8/2015,24,4/9/2017,3.56,0.31,4520000,174924,Bill of Sale over business assets,17100000,5
4,ID1054,Dealer,IFR157,GRP515,RM2008,1/23/2015,2/27/2015,2/27/2016,PRD003,2/27/2015,12,2/28/2016,1.6,0.49,6500000,135850,Transfer of Mortgage over a Lease,6500000,2
5,ID1084,Commercial,IFR164,GRP517,RM2008,1/24/2015,4/5/2015,4/4/2016,PRD014,4/5/2015,24,4/6/2017,2.6,0.28,6030000,173664,Bill of Sale over business assets,4700000,2
6,ID1307,Property Development,IFR160,GRP514,RM2034,1/24/2015,4/4/2015,4/3/2016,PRD001,4/4/2015,36,4/6/2018,2.25,0.31,3950000,101120,Transfer of Mortgage over a Lease,18000000,5
7,ID1462,Property Development,IFR115,GRP514,RM2039,1/28/2015,4/21/2015,4/20/2016,PRD012,4/21/2015,12,4/21/2016,1.78,0.36,6240000,133536,Limited Guarantee and Indemnity (supported),4500000,5
8,ID1025,Property Development,IFR157,GRP515,RM2024,1/29/2015,3/17/2015,3/16/2016,PRD001,3/17/2015,60,3/20/2020,2.19,0.41,1980000,51480,Traded Equities,10500000,3
9,ID1360,Dealer,IFR103,GRP505,RM2011,1/29/2015,5/7/2015,5/6/2016,PRD020,5/7/2015,6,11/6/2015,1.64,0.37,4510000,90651,Bill of Sale over a Post Office licence,17300000,6
10,ID1476,Dealer,IFR159,GRP502,RM2008,1/30/2015,6/5/2015,6/4/2016,PRD015,6/5/2015,24,6/6/2017,3.54,0.44,5570000,221686,Gold Deposit,19900000,5
11,ID1269,Property Development,IFR101,GRP504,RM2028,2/1/2015,4/13/2015,4/12/2016,PRD004,4/13/2015,12,4/13/2016,1.64,0.13,4460000,78942,Unregistered Mortgage over an unregistered lease,13100000,5
12,ID1099,Property Development,IFR157,GRP515,RM2026,2/2/2015,3/6/2015,3/5/2016,PRD003,3/6/2015,12,3/6/2016,3.18,0.29,1930000,66971,Mortgage over Real Property (Commercial),17300000,5
13,ID1101,Commercial,IFR192,GRP502,RM2028,2/2/2015,3/13/2015,3/12/2016,PRD003,3/13/2015,36,3/15/2018,2.68,0.24,6210000,181332,Mortgage over Real Property (Industrial),4100000,1
14,ID1483,Commercial,IFR173,GRP500,RM2001,2/2/2015,3/30/2015,3/29/2016,PRD004,3/30/2015,24,3/31/2017,3.35,0.21,4730000,168388,Unregistered Mortgage over an unregistered lease,15900000,4
15,ID1138,Corporate,IFR167,GRP516,RM2002,2/3/2015,3/20/2015,3/19/2016,PRD017,3/20/2015,48,3/23/2019,1.57,0.37,3500000,67900,Bill of Sale over specific business assets,14000000,3
16,ID1359,Property Development,IFR157,GRP515,RM2023,2/3/2015,3/4/2015,3/3/2016,PRD015,3/4/2015,24,3/5/2017,3.36,0.42,6000000,226800,Collateral Type Desc,13300000,6
17,ID1324,Dealer,IFR128,GRP514,RM2025,2/7/2015,6/5/2015,6/4/2016,PRD018,6/5/2015,48,6/8/2019,3.46,0.23,5350000,197415,Commercial Property,19500000,2
18,ID1417,Commercial,IFR126,GRP514,RM2002,2/7/2015,3/7/2015,3/6/2016,PRD004,3/7/2015,6,9/6/2015,2.01,0.28,5130000,117477,Bill of Sale over specific business assets,5800000,1
19,ID1460,Dealer,IFR198,GRP511,RM2013,2/8/2015,4/19/2015,4/18/2016,PRD007,4/19/2015,6,10/19/2015,3.21,0.49,420000,15540,Transfer of Mortgage over Real Property,17800000,6
20,ID1186,Corporate,IFR192,GRP502,RM2001,2/9/2015,5/22/2015,5/21/2016,PRD003,5/22/2015,12,5/22/2016,2,0.25,6120000,137700,Mortgage over a lease,9600000,4
21,ID1421,Dealer,IFR126,GRP514,RM2009,2/9/2015,4/29/2015,4/28/2016,PRD005,4/29/2015,6,10/29/2015,2.36,0.31,3670000,97989,Mortgage over Real Property (Residential),3500000,5
22,ID1188,Commercial,IFR102,GRP512,RM2015,2/10/2015,5/20/2015,5/19/2016,PRD017,5/20/2015,36,5/22/2018,2.85,0.28,2000000,62600,Transfer of Mortgage over Real Property,13200000,3
23,ID1457,Commercial,IFR166,GRP500,RM2006,2/11/2015,4/20/2015,4/19/2016,PRD010,4/20/2015,48,4/23/2019,2.88,0.13,4430000,133343,Transfer of Mortgage over a Lease,14600000,6
24,ID1121,Dealer,IFR157,GRP515,RM2029,2/12/2015,3/2/2015,3/1/2016,PRD016,3/2/2015,6,9/1/2015,2.24,0.14,3930000,93534,Bank Guarantee by Australian Financial Institution,16500000,5
25,ID1262,Property Development,IFR117,GRP501,RM2016,2/12/2015,5/25/2015,5/24/2016,PRD004,5/25/2015,6,11/24/2015,3.1,0.35,3150000,108675,Traded Equities,11600000,6
26,ID1344,Commercial,IFR193,GRP516,RM2024,2/12/2015,6/5/2015,6/4/2016,PRD013,6/5/2015,48,6/8/2019,3.42,0.39,1360000,51816,Traded Equities,13300000,1
